,Coefficient,Odds Ratio,Std. Error,z-statistic,p-value,CI Lower (OR),CI Upper (OR),Sig.
head_sex,-0.1629,0.8497,0.1104,-1.4756,0.1401,0.6844,1.0549,
head_age,0.0249,1.0252,0.0203,1.229,0.2191,0.9853,1.0668,
head_age_sq,-0.0002,0.9998,0.0002,-0.8252,0.4093,0.9995,1.0002,
hh_size,0.316,1.3717,0.0271,11.6654,0.0,1.3008,1.4465,***
dep_ratio,-0.094,0.9103,0.058,-1.6199,0.1053,0.8125,1.0199,
livelihood_ag,-4.7704,0.0085,0.6951,-6.8634,0.0,0.0022,0.0331,***
land_ha_log,-0.6498,0.5222,0.0512,-12.6991,0.0,0.4723,0.5772,***
d_south,0.905,2.472,0.4653,1.945,0.0518,0.9931,6.1533,*
d_west,0.9778,2.6587,0.4664,2.0967,0.036,1.0659,6.6319,**
d_north,0.1011,1.1064,0.4711,0.2146,0.8301,0.4394,2.7856,
d_east,0.6229,1.8643,0.4672,1.3331,0.1825,0.7461,4.6583,
