,Coefficient,Std. Error,z-statistic,p-value,CI Lower,CI Upper,Sig.
head_sex,-0.0939,0.0643,-1.4599,0.1443,-0.2199,0.0322,
head_age,0.0149,0.0118,1.266,0.2055,-0.0082,0.038,
head_age_sq,-0.0001,0.0001,-0.8542,0.393,-0.0003,0.0001,
hh_size,0.1885,0.0159,11.8708,0.0,0.1574,0.2197,***
dep_ratio,-0.0599,0.034,-1.7611,0.0782,-0.1267,0.0068,*
livelihood_ag,-2.8185,0.3925,-7.1804,0.0,-3.5879,-2.0492,***
land_ha_log,-0.3877,0.0299,-12.9537,0.0,-0.4463,-0.329,***
d_south,0.5011,0.2542,1.9711,0.0487,0.0028,0.9993,**
d_west,0.5483,0.255,2.1499,0.0316,0.0484,1.0481,**
d_north,0.0327,0.2573,0.1271,0.8988,-0.4715,0.537,
d_east,0.3428,0.255,1.3444,0.1788,-0.157,0.8426,
